origin_city,destination_city,air_origin_airport,air_destination_airport,air_distance_km,air_flight_duration_min,air_total_travel_time_min,air_overhead_min,origin_city_lat,origin_city_lng,destination_city_lat,destination_city_lng,rail_origin_station_name,rail_destination_station_name,rail_travel_time_mins,rail_uses_hsr,rail_origin_transit_time_mins,rail_destination_transit_time_mins,rail_total_travel_time_min,best_time_min
Athens,Berlin,ATH,BER,1797.0,175.0,352.27,177.26999999999998,37.9842,23.7281,52.52,13.405,,,,,,,,352.27
Athens,Bordeaux,ATH,BOD,2188.0,215.0,379.33,164.32999999999998,37.9842,23.7281,44.84,-0.58,,,,,,,,379.33
Athens,Bratislava,ATH,BTS,1261.0,130.0,292.07,162.07,37.9842,23.7281,48.1439,17.1097,,,,,,,,292.07
Athens,Brussels,ATH,BRU,2103.0,200.0,365.97,165.97000000000003,37.9842,23.7281,50.8467,4.3525,,,,,,,,365.97
Athens,Bucharest,ATH,OTP,758.0,95.0,268.15,173.14999999999998,37.9842,23.7281,44.4325,26.1039,,,,,,,,268.15
Athens,Budapest,ATH,BUD,1122.0,130.0,305.5,175.5,37.9842,23.7281,47.4925,19.0514,,,,,,,,305.5
Athens,Cologne,ATH,CGN,1956.0,190.0,360.09,170.08999999999997,37.9842,23.7281,50.9364,6.9528,,,,,,,,360.09
Athens,Copenhagen,ATH,CPH,2141.0,200.0,360.64,160.64,37.9842,23.7281,55.6761,12.5683,,,,,,,,360.64
Athens,Düsseldorf,ATH,DUS,2004.0,195.0,352.54,157.54000000000002,37.9842,23.7281,51.2333,6.7833,,,,,,,,352.54
Athens,Frankfurt,ATH,FRA,1818.0,185.0,350.32,165.32,37.9842,23.7281,50.1106,8.6822,,,,,,,,350.32
Athens,Gothenburg,ATH,GOT,2353.0,210.0,389.78,179.77999999999997,37.9842,23.7281,57.7075,11.9675,,,,,,,,389.78
Athens,Hamburg,ATH,HAM,2045.0,195.0,358.38,163.38,37.9842,23.7281,53.55,10.0,,,,,,,,358.38
Athens,Hannover,ATH,HAJ,1956.0,185.0,350.41,165.41000000000003,37.9842,23.7281,52.3667,9.7167,,,,,,,,350.41
Athens,Helsinki,ATH,HEL,2490.0,215.0,389.47,174.47000000000003,37.9842,23.7281,60.1708,24.9375,,,,,,,,389.47
Athens,Kraków,ATH,KRK,1388.0,145.0,310.34,165.33999999999997,37.9842,23.7281,50.0614,19.9372,,,,,,,,310.34
Athens,Lisbon,ATH,LIS,2876.0,275.0,432.79,157.79000000000002,37.9842,23.7281,38.7253,-9.15,,,,,,,,432.79
Athens,Ljubljana,ATH,LJU,1208.0,125.0,305.34,180.33999999999997,37.9842,23.7281,46.0514,14.5061,,,,,,,,305.34
Athens,Luxembourg,ATH,LUX,1921.0,185.0,343.8,158.8,37.9842,23.7281,49.6117,6.1319,,,,,,,,343.8
Athens,Lyon,ATH,LYS,1783.0,185.0,363.51,178.51,37.9842,23.7281,45.76,4.84,,,,,,,,363.51
Athens,Madrid,ATH,MAD,2383.0,235.0,406.26,171.26,37.9842,23.7281,40.4169,-3.7033,,,,,,,,406.26
Athens,Marseille,ATH,MRS,1692.0,175.0,354.96,179.95999999999998,37.9842,23.7281,43.2964,5.37,,,,,,,,354.96
Athens,Milan,ATH,BGY,1458.0,150.0,367.81,217.81,37.9842,23.7281,45.4669,9.19,,,,,,,,367.81
Athens,Munich,ATH,MUC,1518.0,160.0,352.97,192.97000000000003,37.9842,23.7281,48.1375,11.575,,,,,,,,352.97
Athens,Málaga,ATH,AGP,2515.0,240.0,401.68,161.68,37.9842,23.7281,36.7194,-4.42,,,,,,,,401.68
Athens,Naples,ATH,NAP,893.0,110.0,270.06,160.06,37.9842,23.7281,40.8333,14.25,,,,,,,,270.06
Athens,Nuremberg,ATH,NUE,1645.0,160.0,316.52,156.51999999999998,37.9842,23.7281,49.4539,11.0775,,,,,,,,316.52
Athens,Paris,ATH,ORY,2109.0,215.0,386.24,171.24,37.9842,23.7281,48.8567,2.3522,,,,,,,,386.24
Athens,Prague,ATH,PRG,1556.0,160.0,326.66,166.66000000000003,37.9842,23.7281,50.0875,14.4214,,,,,,,,326.66
Athens,Riga,ATH,RIX,2110.0,195.0,357.17,162.17000000000002,37.9842,23.7281,56.9489,24.1064,,,,,,,,357.17
Athens,Rome,ATH,FCO,1087.0,125.0,308.05,183.05,37.9842,23.7281,41.8933,12.4828,,,,,,,,308.05
Athens,Sevilla,ATH,SVQ,2622.0,240.0,402.96,162.95999999999998,37.9842,23.7281,37.39,-5.99,,,,,,,,402.96
Athens,Sofia,ATH,SOF,529.0,75.0,235.34,160.34,37.9842,23.7281,42.7,23.33,,,,,,,,235.34
Athens,Stockholm,ATH,ARN,2452.0,220.0,424.52,204.51999999999998,37.9842,23.7281,59.3294,18.0686,,,,,,,,424.52
Athens,Stuttgart,ATH,STR,1685.0,170.0,334.36,164.36,37.9842,23.7281,48.7775,9.18,,,,,,,,334.36
Athens,Tallinn,ATH,TLL,2389.0,220.0,375.49,155.49,37.9842,23.7281,59.4372,24.7453,,,,,,,,375.49
Athens,Tilburg,ATH,EIN,2090.0,205.0,390.33,185.32999999999998,37.9842,23.7281,51.55,5.0833,,,,,,,,390.33
Athens,Toulouse,ATH,TLS,2000.0,195.0,354.24,159.24,37.9842,23.7281,43.6045,1.444,,,,,,,,354.24
Athens,Valencia,ATH,VLC,2124.0,195.0,357.82,162.82,37.9842,23.7281,39.47,-0.3764,,,,,,,,357.82
Athens,Vienna,ATH,VIE,1279.0,140.0,315.7,175.7,37.9842,23.7281,48.2083,16.3725,,,,,,,,315.7
Athens,Vilnius,ATH,VNO,1859.0,175.0,332.17,157.17000000000002,37.9842,23.7281,54.6872,25.28,,,,,,,,332.17
Athens,Warsaw,ATH,WAW,1598.0,155.0,315.39,160.39,37.9842,23.7281,52.23,21.0111,,,,,,,,315.39
Athens,Zagreb,ATH,ZAG,1084.0,120.0,286.33,166.32999999999998,37.9842,23.7281,45.8131,15.9775,,,,,,,,286.33
Barcelona,Amsterdam,BCN,AMS,1240.0,150.0,305.36,155.36,41.3828,2.1769,52.3728,4.8936,Barcelona Sants,Amsterdam Centraal,684.0,False,7.388093774297752,1.9520337879727412,703.3401275622705,305.36
Barcelona,Antwerp,,,,,,,,,,,Barcelona Sants,Antwerpen Centraal,601.0,True,7.388093774297752,3.5284359653773953,621.9165297396752,621.9165297396752
Barcelona,Athens,BCN,ATH,1909.0,170.0,338.16,168.16000000000003,41.3828,2.1769,37.9842,23.7281,,,,,,,,338.16
Barcelona,Berlin,BCN,BER,1503.0,165.0,330.81,165.81,41.3828,2.1769,52.52,13.405,Barcelona Sants,Berlin Hbf,989.0,False,7.388093774297752,5.947266480604848,1012.3353602549026,330.81
Barcelona,Bordeaux,BCN,BOD,452.0,75.0,227.88,152.88,41.3828,2.1769,44.84,-0.58,Barcelona Sants,Bordeaux-St-Jean,381.0,False,7.388093774297752,5.811588377462907,404.19968215176067,227.88
Barcelona,Bratislava,,,,,,,,,,,Barcelona Sants,Bratislava hl.st.,1364.0,False,7.388093774297752,4.046858342350235,1385.434952116648,1385.434952116648
Barcelona,Bremen,,,,,,,,,,,Barcelona Sants,Bremen Hbf,1213.0,False,7.388093774297752,2.309271364404068,1232.6973651387018,1232.6973651387018
Barcelona,Brussels,BCN,BRU,1082.0,130.0,284.52,154.51999999999998,41.3828,2.1769,50.8467,4.3525,Barcelona Sants,Bruxelles Midi,561.0,True,7.388093774297752,4.14169289941754,582.5297866737153,284.52
Barcelona,Bucharest,BCN,OTP,1984.0,195.0,356.7,161.7,41.3828,2.1769,44.4325,26.1039,,,,,,,,356.7
Barcelona,Budapest,BCN,BUD,1525.0,155.0,319.05,164.05,41.3828,2.1769,47.4925,19.0514,Barcelona Sants,Budapest-Nyugati,1463.0,False,7.388093774297752,4.980157462200125,1485.3682512364978,319.05
Barcelona,Cologne,BCN,CGN,1132.0,140.0,298.63,158.63,41.3828,2.1769,50.9364,6.9528,Barcelona Sants,Köln Messe/Deutz,720.0,False,7.388093774297752,3.9197525107529603,741.3078462850507,298.63
