departure_city_name,departure_airport_code,arrival_city_name,arrival_airport_code,distance_km,flight_duration_minutes,total_travel_time_mins
cologne,CGN,vienna,VIE,748,90,256.17
cologne,CGN,berlin,BER,471,70,237.74
cologne,CGN,barcelona,BCN,1132,130,288.63
cologne,CGN,malaga,AGP,1829,180,332.16
cologne,CGN,rome,FCO,1083,120,293.52
cologne,CGN,hamburg,HAM,364,60,213.85
cologne,CGN,lisbon,LIS,1852,190,338.26
cologne,CGN,milan,BGY,610,90,298.28
cologne,CGN,valencia,VLC,1397,150,303.29
cologne,CGN,milan,MXP,595,85,287.16
cologne,CGN,athens,ATH,1956,175,345.09
cologne,CGN,sofia,SOF,1536,145,295.81
cologne,CGN,zagreb,ZAG,874,95,251.8
cologne,CGN,stockholm,ARN,1190,123,317.99
cologne,CGN,budapest,BUD,963,100,265.98
cologne,CGN,naples,NAP,1240,125,275.54
cologne,CGN,prague,PRG,513,70,227.13
cologne,CGN,riga,RIX,1291,130,282.64
cologne,CGN,sevilla,SVQ,1816,175,328.43
cologne,CGN,copenhagen,CPH,644,85,236.11
rome,CIA,budapest,BUD,819,100,266.38
rome,CIA,bucharest,OTP,1137,125,289.03
rome,CIA,brussels,CRL,1148,130,336.19
rome,CIA,krakow,KRK,1075,120,276.22
rome,CIA,sofia,SOF,898,105,256.21
rome,CIA,poznan,POZ,1222,130,281.39
rome,CIA,sevilla,SVQ,1656,165,318.83
rome,CIA,riga,RIX,1868,180,333.04
rome,CIA,tallinn,TLL,2133,195,341.37
rome,CIA,vilnius,VNO,1705,170,318.04
rome,CIA,bratislava,BTS,795,100,252.94
