from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Milan,BGY,Hamburg,HAM,886,110,311.57
Milan,BGY,Zagreb,ZAG,495,75,279.52
Milan,BGY,Dusseldorf,NRN,709,95,372.8
Milan,BGY,Toulouse,TLS,697,100,297.43
Milan,BGY,Bordeaux,BOD,821,100,302.53
Milan,BGY,Marseille,MRS,432,75,293.15
Milan,BGY,Gothenburg,GOT,1347,140,357.97
Milan,BGY,Riga,RIX,1593,160,360.36
Milan,BGY,Tallinn,TLL,1832,180,373.68
Milan,BGY,Hanover,HAJ,755,100,303.6
Milan,BGY,Rotterdam,RTM,798,100,294.79
Milan,BGY,Sevilla,SVQ,1586,160,361.15
Milan,BGY,Zaragoza,ZAZ,970,115,318.64
Milan,BGY,Las Palmas,LPA,2957,265,486.11
Milan,BGY,Paris,CDG,653,95,316.93
Stockholm,BMA,Gothenburg,GOT,379,65,226.28
Stockholm,BMA,Helsinki,HEL,407,73,228.96
Bordeaux,BOD,Paris,CDG,526,85,253.46
Bordeaux,BOD,Lyon,LYS,464,70,233.23
Bordeaux,BOD,Marseille,MRS,498,70,234.68
Bordeaux,BOD,Amsterdam,AMS,923,105,256.53
Bordeaux,BOD,Madrid,MAD,536,85,240.98
Bordeaux,BOD,Dublin,DUB,1037,120,267.52
Bordeaux,BOD,Barcelona,BCN,452,75,227.88
Bordeaux,BOD,Frankfurt,FRA,907,110,260.04
Bordeaux,BOD,Lisbon,LIS,970,120,262.51
Bordeaux,BOD,Athens,ATH,2188,195,359.33
Bordeaux,BOD,Brussels,CRL,735,95,295.04
Bordeaux,BOD,Malaga,AGP,960,115,261.4
Bordeaux,BOD,Munich,MUC,1032,110,287.69
Bordeaux,BOD,Milan,MXP,744,95,291.41
Bordeaux,BOD,Milan,BGY,821,100,302.53
Bordeaux,BOD,Naples,NAP,1299,135,279.78
Bordeaux,BOD,Berlin,BER,1337,145,306.99
Bordeaux,BOD,Rome,FCO,1102,125,292.77
Bordeaux,BOD,Stuttgart,STR,868,105,254.08
Bordeaux,BOD,Dusseldorf,DUS,906,110,252.26
Bordeaux,BOD,Hamburg,HAM,1248,135,283.1
Bordeaux,BOD,Luxembourg,LUX,746,110,253.52
Bordeaux,BOD,Malta,MLA,1627,150,292.94
Bordeaux,BOD,Palermo,PMO,1365,135,304.27
Bordeaux,BOD,Prague,PRG,1268,133,284.38
Bordeaux,BOD,Sevilla,SVQ,930,105,252.68
Bordeaux,BOD,Valencia,VLC,593,88,235.54
Bordeaux,BOD,Copenhagen,CPH,1527,155,300.36
Bremen,BRE,Munich,MUC,564,75,242.56
Bremen,BRE,Frankfurt,FRA,334,60,199.91
Bremen,BRE,Amsterdam,AMS,284,55,196.39
Bremen,BRE,Stuttgart,STR,486,70,208.94
Bremen,BRE,Vienna,VIE,776,95,245.28
Bremen,BRE,Malaga,AGP,2093,200,336.27
Brussels,BRU,Madrid,MAD,1313,145,302.62
Brussels,BRU,Barcelona,BCN,1082,120,274.52
Brussels,BRU,Frankfurt,FRA,305,60,211.68
Brussels,BRU,Vienna,VIE,926,105,267.05
